,Hotel_Name,Price,Primary_Rating,Location_Rating,Cleanliness_Rating,Service_Rating,Value_Rating,Num_Reviews,Address,Amenities
68,Hilton Garden Inn Nyc Financial Center/Manhattan Downtown ,95,4.5,4.5,4.5,4.5,4.5,768,"6 Water St, New York City, NY 10004-2113","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Children Activities (Kid / Family Friendly)', 'Business Center with Internet Access', 'Meeting rooms', '24-hour security', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary instant cofffee', 'Fax / photocopying', 'Baggage storage', 'Non-smoking hotel', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
69,Room Mate Grace ,98,4.5,5,4.5,4.5,4.5,1828,"125 West 45th Street, New York City, NY 10036-4004","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Pool', 'Bar / lounge', 'Car hire', 'Fax / photocopying', 'Steam room', 'Free internet', 'Wifi', 'Internet', 'Sauna', 'Pool / beach towels', 'Indoor pool', 'Heated pool', 'Breakfast available', 'Breakfast buffet', 'Taxi service', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
70,Artezen Hotel ,93,5.0,5,5,5,5,236,"24 John St, New York City, NY 10038-4020","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Breakfast available', ""Children's television networks"", 'Airport transportation', 'Fax / photocopying', '24-hour security', 'Parking garage', 'Secured parking', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Yoga classes', 'Yoga room', 'Breakfast in the room', 'Complimentary instant cofffee', 'Wine / champagne', 'Car hire', 'Taxi service', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
71,Tryp New York City Times Square South ,99,4.0,4.5,4.5,4.5,4,4832,"345 West 35th Street, New York City, NY 10001-1701","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bicycle rental', 'Taxi service', 'Business Center with Internet Access', 'Meeting rooms', 'Concierge', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Breakfast available', 'Breakfast buffet', 'Fax / photocopying', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
72,Sanctuary Hotel New York Times Square ,109,4.5,5,4.5,4.5,4.5,4625,"132 West 47th Street Between 6th Avenue of the Americas and 7th Avenue, New York City, NY 10036-1502","['Free High Speed Internet (WiFi)', 'Free breakfast', 'Evening entertainment', 'Nightclub / DJ', 'Car hire', 'Fax / photocopying', 'Rooftop terrace', '24-hour security', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Bar / lounge', 'Restaurant', 'Breakfast available', 'Complimentary tea', 'Complimentary welcome drink', 'Happy hour', 'Outdoor dining area', 'Snack bar', 'Wine / champagne', 'Rooftop bar', 'Taxi service', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Doorperson', 'Umbrella', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Shoeshine']"
73,Radisson Hotel New York Wall Street ,117,4.0,4.5,4.5,4,4,2478,"52 William St, New York City, NY 10005-2876","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', ""Children's television networks"", 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Complimentary tea', 'Kid-friendly buffet', 'Vending machine', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
74,World Center Hotel ,101,4.5,4.5,4.5,4.5,4.5,1375,"144 Washington Street, New York City, NY 10006-1030","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', 'Rooftop terrace', 'Baggage storage', 'Paid private parking on-site', 'Parking garage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Rooftop bar', 'Meeting rooms', 'Fax / photocopying', 'Concierge', 'Executive lounge access', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Ironing service']"
75,Millennium Hilton New York Downtown ,152,4.0,4.5,4.5,4,4,5621,"55 Church Street, New York City, NY 10007-2910","['Valet parking', 'Paid wifi', 'Fitness Center with Gym / Workout Room', 'Indoor pool', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Paid internet', 'Heated pool', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'ATM on site', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
76,Element New York Times Square West - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,86,4.0,4.5,4.5,4,4,5204,"311 West 39th Street Between 8th and 9th Avenue, New York City, NY 10018-1401","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Bicycle rental', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Fax / photocopying', 'Paid public parking nearby', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Breakfast available', 'Breakfast buffet', 'Snack bar', 'Rooftop terrace', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'Outdoor furniture', 'Shared lounge / TV area', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
77,Westhouse Hotel New York ,140,4.5,5,4.5,4.5,4,2713,"201 West 55 Street, New York City, NY 10019-5203","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Bicycle rental', 'Taxi service', 'Business Center with Internet Access', 'Meeting rooms', 'Rooftop terrace', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Bar / lounge', 'Breakfast available', 'Breakfast buffet', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
78,Double Tree By Hilton Hotel Metropolitan New York City ,124,3.5,4.5,4,4,3.5,6781,"569 Lexington Ave, New York City, NY 10022-7562","['Valet parking', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', 'Salon', '24-hour security', 'Paid private parking on-site', 'Wifi', 'Public wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Convenience store', 'Currency exchange', 'Gift shop', 'Non-smoking hotel', 'Shops', 'ATM on site', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
79,Ameritania At Times Square ,118,4.5,5,4.5,4.5,4.5,7133,"230 West 54th Street, New York City, NY 10019-5594","['Paid public parking nearby', 'Free internet', 'Bar / lounge', 'Taxi service', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour check-in', 'Wifi', 'Public wifi', 'Internet', 'Breakfast available', 'Breakfast buffet', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
80,The Lucerne Hotel ,128,4.5,4.5,4.5,4.5,4,2757,"201 West 79th Street, New York City, NY 10024-6200","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Business Center with Internet Access', 'Meeting rooms', 'Facial treatments', 'Baggage storage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Fax / photocopying', 'Foot massage', 'Hand massage', 'Head massage', 'Manicure', 'Massage', 'Neck massage', 'Pedicure', 'Salon', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
81,Residence Inn New York Manhattan/Times Square ,135,4.5,5,4.5,4.5,4,2869,"1033 Avenue of the Americas, New York City, NY 10018-5408","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Bar / lounge', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Baggage storage', 'Concierge', 'Convenience store', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Self-serve laundry']"
82,Freehand New York ,119,4.0,4.5,4.5,4,4,470,"23 Lexington Ave, New York City, NY 10010-3790","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Game room', 'Table tennis', 'Taxi service', 'Business Center with Internet Access', 'Rooftop terrace', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Nightclub / DJ', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Laundry service']"
83,The Iroquois New York ,113,4.5,5,5,4.5,4.5,4742,"49 W 44th St btwn 5th & 6th Aves, New York City, NY 10036-6613","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Center with Internet Access', 'Meeting rooms', '24-hour security', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Sauna', 'Restaurant', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Shoeshine']"
84,Citizenm New York Bowery ,119,4.5,4.5,5,4.5,4.5,711,"189 Bowery, New York City, NY 10002-2871","['Free High Speed Internet (WiFi)', 'Bar / lounge', 'Children Activities (Kid / Family Friendly)', 'Baggage storage', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Ironing service', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Snack bar', 'Wine / champagne', 'Rooftop bar', 'Shared lounge / TV area']"
85,"Martinique New York On Broadway, Curio Collection By Hilton ",135,4.0,4.5,4.5,4,4,5719,"49 West 32nd Street, New York City, NY 10001-3811","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Conference facilities', 'Banquet room', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast buffet', 'Vending machine', 'Meeting rooms', 'Salon', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'ATM on site', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
86,Hyatt House New York/Chelsea ,152,4.5,4.5,4.5,4.5,4,916,"815 Avenue of the Americas Corner of West 28th Street, New York City, NY 10001-6305","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Pets Allowed ( Dog / Pet Friendly )', 'Airport transportation', 'Business Center with Internet Access', 'Meeting rooms', 'Secured parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Bar / lounge', 'Breakfast buffet', 'Complimentary instant cofffee', 'Kid-friendly buffet', 'Snack bar', 'Fax / photocopying', 'Rooftop terrace', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Ironing service']"
87,Courtyard New York Manhattan/Midtown East ,103,4.5,4.5,4.5,4.5,4,2768,"866 Third Avenue, New York City, NY 10022-6221","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Coffee shop', 'Bicycle rental', 'Car hire', 'Conference facilities', 'Meeting rooms', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Breakfast available', 'Complimentary instant cofffee', 'Vending machine', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Convenience store', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
88,Nomo Soho Hotel ,125,4.0,4.5,4.5,4,4,1793,"9 Crosby Street, New York City, NY 10013","['Valet parking', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Car hire', 'Banquet room', 'Meeting rooms', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast in the room', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Ironing service']"
89,Staybridge Suites Times Square - New York City ,105,4.5,4.5,4.5,4.5,4.5,6513,"340 West 40th Street, New York City, NY 10018-1404","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Evening entertainment', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Conference facilities', 'Paid public parking nearby', 'Parking', 'Free internet', 'Wifi', 'Internet', 'Bar / lounge', 'Breakfast available', 'Breakfast buffet', 'Snack bar', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Convenience store', 'Newspaper', 'Non-smoking hotel', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry']"
90,Fitzpatrick Grand Central ,138,4.5,5,4.5,4.5,4.5,3075,"141 E 44th St, New York City, NY 10017-4006","['Paid public parking nearby', 'Wifi', 'Bar / lounge', 'Conference facilities', 'Meeting rooms', 'Salon', '24-hour security', 'Baggage storage', 'Valet parking', 'Paid private parking nearby', 'Parking', 'Paid wifi', 'Paid internet', 'Internet', 'Restaurant', 'Complimentary instant cofffee', 'Fax / photocopying', 'Steam room', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
91,"Club Quarters Hotel, Times Square -Midtown ",93,4.0,5,4.5,4,4,2481,"40 W 45th St, New York City, NY 10036-4261","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Baggage storage', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Vending machine', 'Meeting rooms', 'Fax / photocopying', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
92,Soho Grand Hotel ,160,4.0,4.5,4.5,4.5,4,3584,"310 West Broadway, New York City, NY 10013-2225","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Nightclub / DJ', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Conference facilities', 'Valet parking', 'Parking', 'Free internet', 'Wifi', 'Internet', 'Restaurant', 'Meeting rooms', 'Salon', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
93,Belvedere Hotel ,101,4.0,4.5,4.5,4,4,6257,"319 W 48th Street, New York City, NY 10036-1331","['Valet parking', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Walking tours', 'Highchairs available', 'Car hire', 'Parking garage', 'Secured parking', 'Street parking', 'Public wifi', 'Free wifi in the business center', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Complimentary tea', 'Complimentary welcome drink', 'Wine / champagne', 'Vending machine', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'ATM on site', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Clothes dryer', 'Dry cleaning', 'Laundry service', 'Washing machine']"
94,San Carlos Hotel ,158,4.5,4.5,4.5,4.5,4.5,1893,"150 East 50th Street, New York City, NY 10022-9500","['Paid public parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bowling offsite', 'Kids stay free', ""Children's television networks"", 'Car hire', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast in the room', 'Complimentary instant cofffee', 'Complimentary tea', 'Vending machine', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'ATM on site', 'Doorperson', 'Umbrella', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
95,Cassa Hotel Times Square ,110,4.5,4.5,4.5,4.5,4,1850,"515 Ninth Avenue at 39th Street, New York City, NY 10018-2802","['Secured parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', ""Children's television networks"", ""Kids' outdoor play equipment"", 'Car hire', 'Business Center with Internet Access', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Free wifi in the business center', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary tea', 'Complimentary welcome drink', 'Happy hour', 'Outdoor dining area', 'Wine / champagne', 'Taxi service', 'Conference facilities', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Massage', 'Salon', 'Rooftop terrace', 'Concierge', 'Non-smoking hotel', 'Outdoor furniture', 'Sun deck', 'Sun loungers / beach chairs', 'Sun terrace', 'ATM on site', 'First aid kit', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
96,Ac Hotel New York Downtown ,115,4.5,4.5,5,4.5,4.5,149,"151 Maiden Ln, New York City, NY 10038-4930","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Kids stay free', 'Business Center with Internet Access', 'Meeting rooms', 'Baggage storage', 'Parking', 'Free internet', 'Internet', 'Breakfast available', 'Breakfast buffet', 'Fax / photocopying', 'Convenience store', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
97,The Wolcott Hotel ,161,4.0,4.5,4,4,4,2899,"4 West 31st Street Between 5th Avenue & Broadway, New York City, NY 10001-3594","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Free breakfast', 'Airport transportation', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour check-in', 'Wifi', 'Internet', 'Vending machine', 'Taxi service', 'Concierge', 'Non-smoking hotel', 'ATM on site', '24-hour front desk', 'Express check-in / check-out', 'Ironing service']"
98,Library Hotel By Library Hotel Collection - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,233,5.0,5,5,5,4.5,4897,"299 Madison Avenue At E.41st Street, New York City, NY 10017-6298","['Street parking', 'Wifi', 'Restaurant', 'Books, DVDs, music for children', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Rooftop terrace', 'Public wifi', 'Internet', 'Rooftop bar', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Happy hour', 'Wine / champagne', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'First aid kit', 'Umbrella', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
99,Best Western Premier Herald Square ,86,4.5,5,4.5,4.5,4.5,2659,"50 W 36th Street, New York City, NY 10018-8029","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Taxi service', 'Business Center with Internet Access', 'Fax / photocopying', 'Baggage storage', 'Free internet', 'Wifi', 'Internet', 'Vending machine', 'Newspaper', 'Non-smoking hotel', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
100,Gardens Suites Hotel By Affinia - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,230,4.5,4.5,4.5,4.5,4.5,2307,"215 E 64th St 64th Street between 2nd & 3rd Avenues, New York City, NY 10065-6662","['Valet parking', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Baggage storage', 'Concierge', '24-hour front desk', 'Paid private parking nearby', 'Parking', 'Public wifi', 'Internet', 'Non-smoking hotel', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry']"
101,1 Hotel Central Park - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,319,4.5,5,5,4.5,4.5,2019,"1414 Avenue of the Americas, New York City, NY 10019-2514","['Electric vehicle charging station', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Free shuttle or taxi services', 'Business Center with Internet Access', 'Meeting rooms', 'Paid public parking nearby', 'Valet parking', 'Parking garage', 'Free internet', 'Wifi', 'Internet', 'Fitness classes', 'Personal trainer', 'Restaurant', 'Breakfast available', 'Breakfast in the room', ""Kids' meals"", 'Snack bar', 'Wine / champagne', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
102,The Hotel @ New York City ,64,4.0,4.5,4,3.5,4,1835,"161 Lexington Ave, New York City, NY 10016-7305","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Breakfast available', 'Taxi service', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour check-in', 'Parking garage', 'Free internet', 'Wifi', 'Internet', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Laundry service']"
103,Even Hotel New York - Midtown East ,128,4.5,4.5,5,4.5,4.5,971,"221 E 44th St Between 2nd & 3rd Avenues, New York City, NY 10017-4305","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Conference facilities', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Complimentary instant cofffee', 'Meeting rooms', '24-hour security', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
104,Residence Inn New York Manhattan/Central Park ,127,4.5,5,4.5,4.5,4,1706,"1717 Broadway, New York City, NY 10019-5214","['Paid private parking on-site', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Bicycle rental', ""Children's television networks"", 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Paid public parking nearby', 'Parking garage', 'Secured parking', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Breakfast buffet', 'Snack bar', 'Conference facilities', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Newspaper', 'Non-smoking hotel', 'ATM on site', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Self-serve laundry', 'Ironing service']"
105,Embassy Suites By Hilton New York Manhattan Times Square ,101,4.0,4.5,4.5,4,4,793,"60 W 37th St, New York City, NY 10018-7401","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Meeting rooms', 'Parking garage', 'Free internet', 'Wifi', 'Internet', 'Bar / lounge', 'Restaurant', 'Breakfast buffet', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Convenience store', 'Non-smoking hotel', 'Shared lounge / TV area', 'ATM on site', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
106,The Beekman A Thompson Hotel - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,224,4.5,4.5,5,5,4.5,1209,"123 Nassau St, New York City, NY 10038-2415","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Babysitting', 'Pets Allowed ( Dog / Pet Friendly )', 'Business Center with Internet Access', 'Conference facilities', 'Paid public parking nearby', 'Secured parking', 'Street parking', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast in the room', 'Wine / champagne', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service', 'Shoeshine']"
107,Executive Hotel Lesoleil - Updated 2020 Prices & Reviews (New York City) - Tripadvisor,87,4.5,5,4.5,4.5,4.5,1745,"38 W 36th St New York, New York City, NY 10018-8078","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Airport transportation', 'Business Center with Internet Access', 'Banquet room', 'Free internet', 'Wifi', 'Free wifi in the business center', 'Free wired internet in the business center', 'Internet', 'Breakfast available', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
108,The James New York Soho ,161,4.5,4.5,4.5,4.5,4,2058,"27 Grand Street, New York City, NY 10013-1618","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Pool', 'Bar / lounge', 'Bicycle rental', 'Nightclub / DJ', 'Pets Allowed ( Dog / Pet Friendly )', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Rooftop pool', 'Outdoor pool', 'Restaurant', 'Breakfast available', 'Breakfast in the room', 'Poolside bar', 'Rooftop bar', 'Business Center with Internet Access', 'Rooftop terrace', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'Doorperson', '24-hour check-in', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
